Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	31.712611	0.000000	9.256122	-83.780464	0.000000	-3.347175	-5.631540	-27.488475	-44.260195	-7.318529	0.000000	-309.513886	0.000000	0.000000	0.000000	0.000000	-440.371532
10 	125.827218	0.000000	9.786062	-87.781735	0.000000	-2.842669	-5.818654	-27.570836	-44.376176	-6.738544	0.000000	-239.350779	0.000000	0.000000	0.000000	0.000000	-278.866114
20 	81.874815	0.000000	17.878370	-85.345752	0.000000	-2.018283	-5.480749	-27.709737	-44.363550	-6.249520	0.000000	-216.658988	0.000000	0.000000	0.000000	0.000000	-288.073394
30 	45.036185	0.000000	8.738033	-91.197753	0.000000	-1.914049	-5.641914	-28.510195	-44.559057	-5.786077	0.000000	-215.050420	0.000000	0.000000	0.000000	0.000000	-338.885246
40 	70.209134	0.000000	11.561975	-90.171613	0.000000	-2.756123	-5.433910	-29.915905	-44.609428	-7.590736	0.000000	-212.724855	0.000000	0.000000	0.000000	0.000000	-311.431459
50 	75.851110	0.000000	10.605382	-89.908644	0.000000	-2.933337	-5.543706	-30.368867	-44.493223	-5.434563	0.000000	-202.807966	0.000000	0.000000	0.000000	0.000000	-295.033814
60 	55.474038	0.000000	13.966595	-91.553981	0.000000	-2.603092	-5.229015	-30.546176	-44.346674	-5.647666	0.000000	-216.984584	0.000000	0.000000	0.000000	0.000000	-327.470555
70 	41.839546	0.000000	13.529680	-91.959969	0.000000	-2.225833	-5.443796	-31.051486	-44.335225	-5.381072	0.000000	-215.759494	0.000000	0.000000	0.000000	0.000000	-340.787650
80 	46.467250	0.000000	20.416025	-93.520746	0.000000	-2.854376	-5.392853	-31.554008	-44.797271	-5.582000	0.000000	-220.526481	0.000000	0.000000	0.000000	0.000000	-337.344462
90 	74.916599	0.000000	13.274773	-92.602788	0.000000	-3.045018	-5.361427	-31.604993	-44.928360	-4.877019	0.000000	-226.851393	0.000000	0.000000	0.000000	0.000000	-321.079625
100 	51.073782	0.000000	7.515478	-93.928775	0.000000	-2.642821	-5.313898	-31.398619	-44.820065	-4.568281	0.000000	-225.588854	0.000000	0.000000	0.000000	0.000000	-349.672052
110 	48.098482	0.000000	7.635864	-93.885371	0.000000	-2.429265	-5.320384	-31.298076	-44.653634	-4.774834	0.000000	-225.161394	0.000000	0.000000	0.000000	0.000000	-351.788612
120 	40.975398	0.000000	5.320397	-94.965389	0.000000	-2.181242	-5.424346	-31.643266	-44.875295	-4.851302	0.000000	-226.118753	0.000000	0.000000	0.000000	0.000000	-363.763799
130 	59.288208	0.000000	6.480448	-95.701575	0.000000	-2.289238	-5.421192	-32.895191	-45.004033	-4.691350	0.000000	-224.212693	0.000000	0.000000	0.000000	0.000000	-344.446615
140 	43.492335	0.000000	5.085506	-97.421297	0.000000	-2.214383	-5.444664	-33.252191	-45.092107	-5.553349	0.000000	-236.165638	0.000000	0.000000	0.000000	0.000000	-376.565788
150 	33.835776	0.000000	7.684324	-96.617177	0.000000	-2.288685	-5.520771	-33.166806	-45.116329	-4.951269	0.000000	-227.019729	0.000000	0.000000	0.000000	0.000000	-373.160666
160 	39.405595	0.000000	7.403082	-97.214327	0.000000	-2.731982	-5.619472	-33.188306	-45.136965	-5.047402	0.000000	-237.874779	0.000000	0.000000	0.000000	0.000000	-380.004555
170 	40.039615	0.000000	8.985482	-98.713088	0.000000	-2.902219	-5.580707	-32.982320	-45.225866	-5.596242	0.000000	-243.215098	0.000000	0.000000	0.000000	0.000000	-385.190443
180 	34.855731	0.000000	10.003313	-99.170180	0.000000	-2.775172	-5.555059	-32.649496	-45.455730	-6.398737	0.000000	-252.380833	0.000000	0.000000	0.000000	0.000000	-399.526163
190 	41.707427	0.000000	7.280975	-98.041806	0.000000	-2.518456	-5.641100	-32.001182	-45.695786	-6.598630	0.000000	-252.621035	0.000000	0.000000	0.000000	0.000000	-394.129591
200 	29.941314	0.000000	5.870204	-96.602054	0.000000	-2.517342	-5.686718	-31.222601	-45.625219	-6.275586	0.000000	-247.938101	0.000000	0.000000	0.000000	0.000000	-400.056105
210 	42.007371	0.000000	7.185406	-95.906752	0.000000	-2.660181	-5.554594	-31.479076	-45.622995	-6.807270	0.000000	-248.160579	0.000000	0.000000	0.000000	0.000000	-386.998669
220 	36.233818	0.000000	6.282127	-95.146811	0.000000	-2.369607	-5.586047	-32.201543	-45.681751	-7.349400	0.000000	-255.600411	0.000000	0.000000	0.000000	0.000000	-401.419624
230 	42.991324	0.000000	11.132071	-94.733503	0.000000	-2.088905	-5.726708	-32.977748	-45.567503	-7.027539	0.000000	-256.269801	0.000000	0.000000	0.000000	0.000000	-390.268312
240 	39.376454	0.000000	8.428366	-94.347080	0.000000	-2.073222	-5.653216	-33.304718	-45.195073	-6.986313	0.000000	-258.019146	0.000000	0.000000	0.000000	0.000000	-397.773948
250 	25.813051	0.000000	9.338184	-94.517323	0.000000	-2.520870	-5.556147	-33.375512	-44.933422	-6.490881	0.000000	-252.712192	0.000000	0.000000	0.000000	0.000000	-404.955113
260 	32.467028	0.000000	7.569530	-94.386849	0.000000	-2.965299	-5.550747	-33.630665	-44.873871	-6.366400	0.000000	-253.970691	0.000000	0.000000	0.000000	0.000000	-401.707964
270 	32.372671	0.000000	5.926322	-95.465184	0.000000	-2.563834	-5.593941	-33.791914	-44.935154	-6.715088	0.000000	-254.477704	0.000000	0.000000	0.000000	0.000000	-405.243826
280 	35.953234	0.000000	5.853560	-95.514289	0.000000	-2.310743	-5.548881	-33.566568	-44.951492	-6.461165	0.000000	-253.413590	0.000000	0.000000	0.000000	0.000000	-399.959933
290 	31.366028	0.000000	4.757845	-96.892773	0.000000	-2.196777	-5.434223	-33.533854	-44.905038	-6.351224	0.000000	-249.994274	0.000000	0.000000	0.000000	0.000000	-403.184289
300 	31.623179	0.000000	6.569720	-97.341340	0.000000	-2.251286	-5.501029	-33.662308	-44.942303	-5.905382	0.000000	-246.589095	0.000000	0.000000	0.000000	0.000000	-397.999844
