Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
1050 	41.005518	0.000000	8.334068	-96.099188	0.000000	-1.228545	-5.434878	-33.371273	-45.705891	-6.566472	0.000000	-240.210497	0.000000	0.000000	0.000000	0.637058	-378.640099
1060 	37.801220	0.000000	8.126457	-96.353366	0.000000	-1.137513	-5.429973	-33.479843	-45.596189	-6.358207	0.000000	-244.221660	0.000000	0.000000	0.000000	0.636479	-386.012596
1070 	41.017799	0.000000	6.289292	-96.317578	0.000000	-1.366129	-5.373610	-33.201920	-45.476376	-5.829592	0.000000	-239.829891	0.000000	0.000000	0.000000	0.636660	-379.451345
1080 	39.865934	0.000000	6.380238	-97.967307	0.000000	-1.274644	-5.384068	-33.146379	-45.411194	-5.205687	0.000000	-237.846263	0.000000	0.000000	0.000000	0.633433	-379.355937
1090 	36.471965	0.000000	5.844416	-98.926667	0.000000	-1.582922	-5.488612	-33.449762	-45.419752	-5.023890	0.000000	-232.892632	0.000000	0.000000	0.000000	0.631689	-379.836167
1100 	40.430600	0.000000	9.144246	-99.242175	0.000000	-1.571993	-5.517560	-33.498674	-45.372327	-5.060453	0.000000	-232.749779	0.000000	0.000000	0.000000	0.632442	-372.805673
1110 	41.896698	0.000000	9.870577	-97.615429	0.000000	-1.953134	-5.299779	-33.421122	-45.238689	-4.893852	0.000000	-234.485375	0.000000	0.000000	0.000000	0.636726	-370.503380
1120 	42.020111	0.000000	9.885182	-96.367071	0.000000	-1.795629	-5.280688	-33.406121	-45.198730	-5.380464	0.000000	-235.481864	0.000000	0.000000	0.000000	0.637933	-370.367343
1130 	39.456561	0.000000	4.924644	-97.474688	0.000000	-1.536804	-5.503481	-33.585985	-45.206337	-5.776969	0.000000	-237.644006	0.000000	0.000000	0.000000	0.634828	-381.712237
1140 	38.938752	0.000000	6.056974	-96.462709	0.000000	-1.793689	-5.428060	-33.475567	-45.317259	-5.278378	0.000000	-233.715615	0.000000	0.000000	0.000000	0.632552	-375.842999
1150 	43.840800	0.000000	6.949535	-96.827975	0.000000	-2.184635	-5.401307	-33.460853	-45.495512	-6.283896	0.000000	-242.034026	0.000000	0.000000	0.000000	0.633551	-380.264319
1160 	39.377228	0.000000	7.816775	-95.640336	0.000000	-1.937567	-5.449790	-33.327996	-45.608000	-6.605278	0.000000	-242.665194	0.000000	0.000000	0.000000	0.635110	-383.405048
1170 	41.161314	0.000000	5.909254	-96.049176	0.000000	-1.579308	-5.600937	-33.558764	-45.540045	-6.009969	0.000000	-244.111133	0.000000	0.000000	0.000000	0.634821	-384.743941
1180 	42.370189	0.000000	6.350810	-96.528362	0.000000	-1.508042	-5.786243	-33.965865	-45.545120	-5.546035	0.000000	-244.979968	0.000000	0.000000	0.000000	0.635746	-384.502889
1190 	36.091327	0.000000	8.429343	-97.200382	0.000000	-1.975255	-5.478253	-34.185266	-45.647661	-5.487865	0.000000	-244.682836	0.000000	0.000000	0.000000	0.639778	-389.497069
1200 	39.841910	0.000000	7.911922	-96.444022	0.000000	-1.689437	-5.562080	-34.451330	-45.470637	-6.184032	0.000000	-246.381134	0.000000	0.000000	0.000000	0.645053	-387.783787
1210 	40.838391	0.000000	6.326990	-96.525887	0.000000	-1.406738	-5.591796	-34.651262	-45.083452	-5.823563	0.000000	-238.802187	0.000000	0.000000	0.000000	0.649635	-380.069869
1220 	32.690681	0.000000	5.408418	-96.400794	0.000000	-1.271906	-5.549052	-34.319237	-44.984332	-5.790951	0.000000	-236.296684	0.000000	0.000000	0.000000	0.651881	-385.861976
1230 	32.393360	0.000000	5.951568	-97.663471	0.000000	-1.518689	-5.681705	-33.984269	-45.108079	-6.089351	0.000000	-238.119721	0.000000	0.000000	0.000000	0.654436	-389.165920
1240 	32.063422	0.000000	8.506836	-97.620825	0.000000	-1.959658	-5.601010	-33.506506	-45.149893	-5.981800	0.000000	-244.464621	0.000000	0.000000	0.000000	0.654632	-393.059423
1250 	40.823349	0.000000	8.067658	-97.234216	0.000000	-1.671148	-5.580592	-33.309060	-45.064593	-5.686614	0.000000	-243.372930	0.000000	0.000000	0.000000	0.652657	-382.375489
1260 	34.217939	0.000000	6.152397	-97.419265	0.000000	-1.575611	-5.518781	-33.272597	-44.740357	-5.623690	0.000000	-244.380894	0.000000	0.000000	0.000000	0.648170	-391.512688
1270 	33.905840	0.000000	8.469025	-98.106767	0.000000	-1.627197	-5.513312	-33.213803	-44.384773	-5.732496	0.000000	-239.656041	0.000000	0.000000	0.000000	0.643270	-385.216253
1280 	35.865520	0.000000	5.416673	-97.614671	0.000000	-2.028782	-5.481336	-33.384127	-44.334588	-5.941506	0.000000	-242.571102	0.000000	0.000000	0.000000	0.639534	-389.434385
1290 	43.309926	0.000000	6.203746	-97.082235	0.000000	-2.448245	-5.421464	-33.422888	-44.369327	-5.862352	0.000000	-239.057191	0.000000	0.000000	0.000000	0.637455	-377.512575
1300 	39.248866	0.000000	6.543139	-98.412964	0.000000	-2.055292	-5.428563	-33.373985	-44.481778	-6.769490	0.000000	-242.005732	0.000000	0.000000	0.000000	0.637575	-386.098222
1310 	39.226516	0.000000	7.053162	-99.085920	0.000000	-2.065286	-5.402333	-32.738080	-44.495732	-6.332617	0.000000	-242.434123	0.000000	0.000000	0.000000	0.641571	-385.632844
1320 	33.139271	0.000000	8.082602	-99.031246	0.000000	-1.986089	-5.447130	-31.504318	-44.494545	-6.122356	0.000000	-246.075067	0.000000	0.000000	0.000000	0.647814	-392.791064
1330 	41.312789	0.000000	9.049371	-98.423018	0.000000	-2.060030	-5.430045	-31.195248	-44.472350	-6.361872	0.000000	-249.269289	0.000000	0.000000	0.000000	0.653643	-386.196050
1340 	39.824703	0.000000	9.822630	-99.148563	0.000000	-2.191798	-5.164740	-31.491192	-44.537135	-6.544627	0.000000	-249.414603	0.000000	0.000000	0.000000	0.654797	-388.190528
1350 	39.892374	0.000000	8.679672	-99.133955	0.000000	-2.016532	-5.352942	-32.066758	-44.477419	-5.816330	0.000000	-250.952616	0.000000	0.000000	0.000000	0.653427	-390.591078
1360 	37.708172	0.000000	5.627091	-98.142492	0.000000	-1.690937	-5.239711	-32.511328	-44.418948	-5.585284	0.000000	-245.460318	0.000000	0.000000	0.000000	0.652661	-389.061094
